성분명,CAS번호,규제국가,규제구분,단서조항,제한사항,제한농도값_percent,최소제한농도_percent,최대제한농도_percent,예측_Kp_cm_h,Cmax_mg_L,Tmax_h,AUC_mg_h_L,총흡수량_mg,SED_mg_kg_day,적용기준치_mg_kg_day,적용기준치_종류,MoS,log_MoS,MoS_group,대시보드판정,PoD_보강상태,기준치_신뢰도,기준치_출처,기준치_출처_URL,기준치_근거요약,규제우선경고,국소독성_주의,SMILES_InChI_확보필요,PoD_추가조사우선순위,남은과제_메모,독성종말점,독성종말점_분류,독성용량,독성용량_추출값_mg_kg,독성용량_표준화메모,독성용량_MoS사용여부,독성시험종,독성노출경로,독성정보_URL,국문표준명,영문성분명,기준치_우선순위,MoS계산식
Benzoic acid,65-85-0,일본,한도,,모든 화장품: 100그램당 최대 배합량 0.2 g,,,,0.0287724107669677,0.5740347165794165,10.5,12.420685534143317,6.351104843452934,0.0529258736954411,800.0,NOAEL_외부레퍼런스,15115.48027725634,4.17942195094807,Very Safe,매우 안정,외부 PoD 적용,높음,OECD SIDS / CIR repeated-dose oral toxicity,https://hpvchemicals.oecd.org/ui/handler.axd?id=aa89d225-a2a7-4ed5-b8d6-c06b5e30b45b,Benzoic acid repeated-dose oral toxicity studies give NOAEL 800 mg/kg/day.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LD50,LD50,1940 mg/kg,1940.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,마우스,경구투여,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T2000000205,벤조익애씨드,Benzoic Acid,2_OECD/ECHA류,800 / 0.0529259 = 1.512e+04
Benzoic acid,65-85-0,중국,한도,,사용제한성분: 씻어내는 제품은 총량 2.5%(산으로 환산)까지 허용. 사용제한 방부제: 총량 0.5%(산으로 환산)까지 허용,"2.5, 0.5",0.5,2.5,0.0287724107669677,0.5740347165794165,10.5,12.420685534143317,6.351104843452934,0.0529258736954411,800.0,NOAEL_외부레퍼런스,15115.48027725634,4.17942195094807,Very Safe,매우 안정,외부 PoD 적용,높음,OECD SIDS / CIR repeated-dose oral toxicity,https://hpvchemicals.oecd.org/ui/handler.axd?id=aa89d225-a2a7-4ed5-b8d6-c06b5e30b45b,Benzoic acid repeated-dose oral toxicity studies give NOAEL 800 mg/kg/day.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LD50,LD50,1940 mg/kg,1940.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,마우스,경구투여,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T2000000205,벤조익애씨드,Benzoic Acid,2_OECD/ECHA류,800 / 0.0529259 = 1.512e+04
Benzoic acid,65-85-0,한국,한도,,"배합한도: 산으로 환산하여 0.5%. 단, 벤조익애씨드 및 그 소듐염은 사용 후 씻어내는 제품에서 산으로 환산하여 2.5%까지 허용","0.5, 2.5",0.5,2.5,0.0287724107669677,0.5740347165794165,10.5,12.420685534143317,6.351104843452934,0.0529258736954411,800.0,NOAEL_외부레퍼런스,15115.48027725634,4.17942195094807,Very Safe,매우 안정,외부 PoD 적용,높음,OECD SIDS / CIR repeated-dose oral toxicity,https://hpvchemicals.oecd.org/ui/handler.axd?id=aa89d225-a2a7-4ed5-b8d6-c06b5e30b45b,Benzoic acid repeated-dose oral toxicity studies give NOAEL 800 mg/kg/day.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LD50,LD50,1940 mg/kg,1940.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,마우스,경구투여,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T2000000205,벤조익애씨드,Benzoic Acid,2_OECD/ECHA류,800 / 0.0529259 = 1.512e+04
Benzoic acid,65-85-0,아세안,한도,,"완제품 내 최대 허용 농도: 구강 관리 제품을 제외한 씻어내는 제품 2.5%(산으로 환산), 구강 관리 제품 1.7%(산으로 환산), 씻어내지 않는 제품 0.5%(산으로 환산)","2.5, 1.7, 0.5, 2.5, 1.7, 0.5",0.5,2.5,0.0287724107669677,0.5740347165794165,10.5,12.420685534143317,6.351104843452934,0.0529258736954411,800.0,NOAEL_외부레퍼런스,15115.48027725634,4.17942195094807,Very Safe,매우 안정,외부 PoD 적용,높음,OECD SIDS / CIR repeated-dose oral toxicity,https://hpvchemicals.oecd.org/ui/handler.axd?id=aa89d225-a2a7-4ed5-b8d6-c06b5e30b45b,Benzoic acid repeated-dose oral toxicity studies give NOAEL 800 mg/kg/day.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LD50,LD50,1940 mg/kg,1940.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,마우스,경구투여,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T2000000205,벤조익애씨드,Benzoic Acid,2_OECD/ECHA류,800 / 0.0529259 = 1.512e+04
Benzoic acid,65-85-0,EU,한도,,"완제품 내 최대 허용 농도: 구강 관리 제품을 제외한 씻어내는 제품 2.5%(산으로 환산), 구강 관리 제품 1.7%(산으로 환산), 씻어내지 않는 제품 0.5%(산으로 환산)","2.5, 1.7, 0.5, 2.5, 1.7, 0.5",0.5,2.5,0.0287724107669677,0.5740347165794165,10.5,12.420685534143317,6.351104843452934,0.0529258736954411,800.0,NOAEL_외부레퍼런스,15115.48027725634,4.17942195094807,Very Safe,매우 안정,외부 PoD 적용,높음,OECD SIDS / CIR repeated-dose oral toxicity,https://hpvchemicals.oecd.org/ui/handler.axd?id=aa89d225-a2a7-4ed5-b8d6-c06b5e30b45b,Benzoic acid repeated-dose oral toxicity studies give NOAEL 800 mg/kg/day.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LD50,LD50,1940 mg/kg,1940.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,마우스,경구투여,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T2000000205,벤조익애씨드,Benzoic Acid,2_OECD/ECHA류,800 / 0.0529259 = 1.512e+04
Benzoic acid,65-85-0,브라질,한도,,"완제품 내 최대 허용 농도: 구강 관리 제품을 제외한 씻어내는 제품 2.5%(산으로 환산), 구강 관리 제품 1.7%(산으로 환산), 씻어내지 않는 제품 0.5%(산으로 환산)","2.5, 1.7, 0.5, 2.5, 1.7, 0.5, 0.5, 0.5",0.5,2.5,0.0287724107669677,0.5740347165794165,10.5,12.420685534143317,6.351104843452934,0.0529258736954411,800.0,NOAEL_외부레퍼런스,15115.48027725634,4.17942195094807,Very Safe,매우 안정,외부 PoD 적용,높음,OECD SIDS / CIR repeated-dose oral toxicity,https://hpvchemicals.oecd.org/ui/handler.axd?id=aa89d225-a2a7-4ed5-b8d6-c06b5e30b45b,Benzoic acid repeated-dose oral toxicity studies give NOAEL 800 mg/kg/day.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LD50,LD50,1940 mg/kg,1940.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,마우스,경구투여,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T2000000205,벤조익애씨드,Benzoic Acid,2_OECD/ECHA류,800 / 0.0529259 = 1.512e+04
Benzoic acid,65-85-0,아르헨티나,한도,,"완제품 내 최대 허용 농도: 구강 관리 제품을 제외한 씻어내는 제품 2.5%(산으로 환산), 구강 관리 제품 1.7%(산으로 환산), 씻어내지 않는 제품 0.5%(산으로 환산)","2.5, 1.7, 0.5, 2.5, 1.7, 0.5, 0.5, 0.5",0.5,2.5,0.0287724107669677,0.5740347165794165,10.5,12.420685534143317,6.351104843452934,0.0529258736954411,800.0,NOAEL_외부레퍼런스,15115.48027725634,4.17942195094807,Very Safe,매우 안정,외부 PoD 적용,높음,OECD SIDS / CIR repeated-dose oral toxicity,https://hpvchemicals.oecd.org/ui/handler.axd?id=aa89d225-a2a7-4ed5-b8d6-c06b5e30b45b,Benzoic acid repeated-dose oral toxicity studies give NOAEL 800 mg/kg/day.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LD50,LD50,1940 mg/kg,1940.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,마우스,경구투여,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T2000000205,벤조익애씨드,Benzoic Acid,2_OECD/ECHA류,800 / 0.0529259 = 1.512e+04
Benzoic acid,65-85-0,대만,한도,"※ 본 표에 등재되지 않은 방부제 성분이라도 유럽, 미국, 일본 정부가 사용을 허가하고 사용 제한 기준을 공고한 경우, 해당 기준에 따라 사용할 수 있습니다. 국가별 관리 기준이 서로 다른 경우에는 가장 엄격하고 안전한 제한 기준을 적용합니다. ※ 본 표의 구강 제제에는 비의약 치약, 구강청결제 및 치아 미백류 화장품이 포함됩니다","※ 본 표에 등재되지 않은 방부제 성분이라도 유럽, 미국, 일본 정부가 사용을 허가하고 사용 기준을 공고한 경우, 해당 기준에 따라 사용할 수 있습니다. 국가별 관리 기준이 서로 다른 경우에는 가장 엄격하고 안전한 제한 기준을 적용합니다. ※ 본 표의 구강 제제에는 비의약 치약, 구강청결제 및 치아 미백류 화장품이 포함됩니다. 용도: 방부제. 배합한도: (a) 사용 후 즉시 씻어내는 제품(구강 제제 제외) 2.5%(산으로 환산), (b) 씻어내지 않는 제품 0.5%(산으로 환산), (c) 구강 제제 1.7%(산으로 환산)","2.5, 0.5, 1.7, 2.5, 0.5, 1.7",0.5,2.5,0.0287724107669677,0.5740347165794165,10.5,12.420685534143317,6.351104843452934,0.0529258736954411,800.0,NOAEL_외부레퍼런스,15115.48027725634,4.17942195094807,Very Safe,매우 안정,외부 PoD 적용,높음,OECD SIDS / CIR repeated-dose oral toxicity,https://hpvchemicals.oecd.org/ui/handler.axd?id=aa89d225-a2a7-4ed5-b8d6-c06b5e30b45b,Benzoic acid repeated-dose oral toxicity studies give NOAEL 800 mg/kg/day.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LD50,LD50,1940 mg/kg,1940.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,마우스,경구투여,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T2000000205,벤조익애씨드,Benzoic Acid,2_OECD/ECHA류,800 / 0.0529259 = 1.512e+04
Benzyl alcohol,100-51-6,EU,한도,"해당 물질을 함유하면서 개정 제한사항을 충족하지 않는 화장품은, 2023년 8월 15일 당시 적용되던 제한사항을 충족하는 경우 2026년 7월 31일까지 유럽연합 시장에 출시할 수 있고 2028년 7월 31일까지 유럽연합 시장에서 판매할 수 있습니다","해당 물질을 함유하면서 개정 제한사항을 충족하지 않는 화장품은 2023년 8월 15일 당시 적용되던 제한사항을 충족하는 경우 2026년 7월 31일까지 유럽연합 시장에 출시할 수 있고 2028년 7월 31일까지 판매할 수 있음. 제품 내 미생물 증식 억제 목적 이외의 용도로 사용하는 경우 그 목적을 제품 표시에서 명확히 해야 함. 성분 농도가 씻어내지 않는 제품에서 0.001%, 씻어내는 제품에서 0.01%를 초과하면 성분 목록에 표시해야 함. 방부제로 사용하는 경우 사용 준비 상태 제품에서 최대 1.0%까지 허용","0.001, 0.01, 0.001, 0.01, 1.0, 1.0",0.001,1.0,0.005919207878969,0.2000033071674665,14.5,5.7754149755092925,3.0942114135676664,0.0257850951130638,200.0,NOAEL_외부레퍼런스,7756.418935940698,3.889661257943253,Very Safe,매우 안정,외부 PoD 적용,중간,"CIR/Safety Assessment, long-term study conservative lower species value",https://journals.sagepub.com/doi/pdf/10.1177/1091581817728996,Long-term studies on benzyl alcohol yielded NOAEL >400 mg/kg bw/day in rats and >200 mg/kg bw/day in mice; conservative 200 used.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LClo,LCLo,1000 ppm/8 시간,,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,흡입,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1287623626543,벤질알코올,Benzyl Alcohol,4_CIR,200 / 0.0257851 = 7756
Benzyl alcohol,100-51-6,브라질,한도,,완제품 내 최대 허용 농도: 1.0%,"1.0, 1.0",1.0,1.0,0.005919207878969,0.2000033071674665,14.5,5.7754149755092925,3.0942114135676664,0.0257850951130638,200.0,NOAEL_외부레퍼런스,7756.418935940698,3.889661257943253,Very Safe,매우 안정,외부 PoD 적용,중간,"CIR/Safety Assessment, long-term study conservative lower species value",https://journals.sagepub.com/doi/pdf/10.1177/1091581817728996,Long-term studies on benzyl alcohol yielded NOAEL >400 mg/kg bw/day in rats and >200 mg/kg bw/day in mice; conservative 200 used.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LClo,LCLo,1000 ppm/8 시간,,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,흡입,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1287623626543,벤질알코올,Benzyl Alcohol,4_CIR,200 / 0.0257851 = 7756
